,video_id,title,publishedate,channel_name,Thumbnails_url,tags,views,likes,dislikes,comments
920,al1Rlto5o6E,aashiq banaya aapne - ii (remix) (full song) film - aashiq banaya aapne,2011-05-24 17:40:01+00:00,T-Series,https://i.ytimg.com/vi/al1Rlto5o6E/mqdefault.jpg,  aashiq    banaya    aapne    ii     remix     aashiq banaya aapne    himesh reshammiya    akbar sami    tanushree datta    hindi bollywood song    remix song    tseries movies    official song    hindi songs    hindi movies    dance song    remix songs    latest hindi song    full hindi song    latest hindi movies    full movies song    bollywood romantic song    bollywood song    latest bollywood song    tseries  ,26682259,88249,7571,2892
921,jd-Anatu6_I,zero  husn parcham lyrical video song   shah rukh khan  katrina kaif  anushka sharma   t-series,2018-12-17 11:15:11+00:00,T-Series,https://i.ytimg.com/vi/jd-Anatu6_I/mqdefault.jpg,  husn parcham    husn parcham song    isaaqbaazi zero    zero song    zero video song    isaaqbaazi video song 2018    video song zero issaqbaazi    zero movie video songs    video songs zero 2018    best song of zero    issaqbaazi    issaqbaazi    zero    shah rukh khan    salman khan    anushka sharma    katrina kaif    t series songs 2018    salman khan    tseries    zero mera naam tu    zero songs    shahrukh khan songs 2018    zero all song    anushka sharma songs    irshad kamil    bhoomi trivedi    raja kumari  ,25500314,150935,9194,3951
922,54z7T3SIpYY, khudaya ve  film luck ft. imran khan  shruti hassan,2011-05-30 07:36:59+00:00,T-Series,https://i.ytimg.com/vi/54z7T3SIpYY/mqdefault.jpg,  khudaya ve    luck    salim merchant    shabbir ahmed    sulaiman merchant    sanjay dutt    danny denzongpa    imran khan    ravi kissen    shruti haasan    mithun chakraborty    official song    hindi movies    hindi songs    tseries movies    hindi bollywood song    bollywood song    khudaya ve song    bollywood romantic song    hindi songs 2009    hindi movies 2009    latest hindi movies    full hindi song    latest hindi song    full movies song    tseries  ,25260320,197951,6629,4322
923,pKGiJ8f0w6Q,maine chun liya full video   dil maange more    shahid kapoor  ayesha takia  soha ali khan,2011-05-30 13:20:30+00:00,T-Series,https://i.ytimg.com/vi/pKGiJ8f0w6Q/mqdefault.jpg,  tumne chahe kaha na    chun liya    dil maange more    udit narayan    shreya ghoshal    sameer    himesh reshammiya    shahid kapoor    ayesha takia    soha ali khan    official song    hindi movies    hindi songs    tseries movies    hindi bollywood song    chun liya song    latest bollywood song    tumne chahe kaha na song    bollywood song    full hindi song    latest hindi song    full movies song    latest hindi movies    tseries  ,24999392,98666,6729,2494
924,R0XjwtP_iTY,khaabon ke parinday (full video song) zindagi na milegi dobara   hrithik roshan  kartina kaif,2012-12-13 09:49:21+00:00,T-Series,https://i.ytimg.com/vi/R0XjwtP_iTY/mqdefault.jpg,  khabon ke parindey    khaabon ke parinday    zindagi na milegi dobara    hrithik roshan    farhan akhtar    abhey deol    kalki koechin    khaabon ke parinday song    hindi songs    t series    tseries songs    romantic songs 2011    hrithik rosham movies 2012    bollywood hindi songs    kwabon ke paridey full song    khwabon ke parindey full song    bollywood movies    khaabon ke parinday cover    khaabon ke parinday full song    znmd songs    znmd shayari    znmd full movie    znmd trailer  ,24990277,122563,4845,2713
925,sPV5_m9GGqo, prem ratan dhan payo  video song   prem ratan dhan payo   salman khan  sonam kapoor   palak muchhal,2015-10-14 14:02:38+00:00,T-Series,https://i.ytimg.com/vi/sPV5_m9GGqo/mqdefault.jpg,  prem ratan dhan payo songs    salman khan songs    salman khan  film actor     prem leela song    sonam kapoor  film actor     himesh reshammiya  film actor     prem ratan dhan payo    prem ratan dhan payo full songs    prem ratan dhan payo title song    prem ratan dhan payo jukebox    sonam kapoor prem ratan dhan payo    hindi songs    hindi songs 2015    am 1290asco    prem ratan dhan payo song    prem ratan dhan payo video song    prdp    prdp songs    prem    ratan    dhan    payo    salman khan songs 2015  ,24503871,63845,9229,3249
926,jRszQSQZu1o,suit suit lyrical video song   hindi medium   irrfan khan   saba qamar   guru randhawa   arjun,2017-04-20 13:52:10+00:00,T-Series,https://i.ytimg.com/vi/jRszQSQZu1o/mqdefault.jpg,  lyrics suit suit    suit suit karda lyrics    hindi medium songs    suit suit karda    suit guru randhawa    tenu suit suit karda    hindi medium    irrfan khan    irrfan khan in hindi medium    hindi medium movie    hindi medium full movie    suit guru randhawa arjun    guru randhawa songs    hindi medium irrfan khan    tseries    latest movie tseries    bollywood songs 2017    latest songs 2017    songs    romantic songs    suit suit    guru randhawa suit suit    hindi medium song lyrics    lyrics    arjun    suit  ,24432162,88928,10642,2223
927,tn9erAEBsco,peerh meri video song   ft. anita hassanandani reddy   pearl v puri   new song 2019   t-series,2019-05-14 05:03:25+00:00,T-Series,https://i.ytimg.com/vi/tn9erAEBsco/mqdefault.jpg,  peerh meri    peerh meri pearl v puri    peerh meri anita hassanandani    new song    song    indian songs 2019    peerh meri video song    new music 2019    new songs 2019    top songs 2019    new hindi song    hindi new song 2019    hindi latest songs    hindi latest song 2019    music video    new hindi song 2019    hindi songs    hindi gaan    hindi song    song 2019    trending songs    love song hindi    love song hindi 2019    hindi sad song 2019    anita   pearl v puri   latest 2019    pearl new song    peerh  ,22375613,488972,14259,18570
928,OyNqiH5RKW4,lal dupatta malmal ka (full song) film - lal dupatta malmal ka,2011-05-24 23:37:53+00:00,T-Series,https://i.ytimg.com/vi/OyNqiH5RKW4/mqdefault.jpg,  lal dupatta malmal ka    mohammad aziz    majrooh sultanpuri    anand    milind    gulshan kumar    hindi bollywood song    yt stretch 16 9    hindi movies    hindi songs    official song    tseries movies    latest hindi song    latest bollywood song    bollywood song    lal dupatta malmal ka song    latest hindi movies    full hindi song    full movies song    bollywood romantic song    tseries  ,22246002,51122,10503,3462
929,LLhAgRIukNc,i don t know what to do full song (with lyrics) housefull   akshay kumar  jiah khan,2012-03-13 08:03:34+00:00,T-Series,https://i.ytimg.com/vi/LLhAgRIukNc/mqdefault.jpg,  i don t know lyrics    i don t know what to do    jiah khan ritesh deshmukh    arjun rampal    don t    know    what    to    do    akshay kumar    full    tseries    hindi movies    hindi songs    tseries movies    official song    hot songs    hindi hot songs    bollywood song    hindi bollywood song    hot hindi song    sexy songs    sexy jiah khan    akshay kumar songs    housefull    i don t know what to do    jiah khan  film actor     riteish deshmukh  film actor     lyrics  ,21934606,88434,5196,2406
